raw_name,canonical_name,entity_type,source_url,matched,startup_name
MaaFramework,,PRODUCT,https://github.com/MaaXYZ/MaaFramework,False,MaaXYZ
neuralangelo,,PRODUCT,https://github.com/NVlabs/neuralangelo,False,NVlabs
pysot,,PRODUCT,https://github.com/STVIR/pysot,False,STVIR
PyTorch-Tutorial-2nd,,PRODUCT,https://github.com/TingsongYu/PyTorch-Tutorial-2nd,False,TingsongYu
BEVFormer,,PRODUCT,https://github.com/fundamentalvision/BEVFormer,False,fundamentalvision
PINTO_model_zoo,,PRODUCT,https://github.com/PINTO0309/PINTO_model_zoo,False,PINTO0309
webots,,PRODUCT,https://github.com/cyberbotics/webots,False,cyberbotics
ceres-solver,,PRODUCT,https://github.com/ceres-solver/ceres-solver,False,ceres-solver
framework,,PRODUCT,https://github.com/accord-net/framework,False,accord-net
vrn,,PRODUCT,https://github.com/AaronJackson/vrn,False,AaronJackson
monodepth2,,PRODUCT,https://github.com/nianticlabs/monodepth2,False,nianticlabs
simclr,,PRODUCT,https://github.com/google-research/simclr,False,google-research
TensorFlow-World,,PRODUCT,https://github.com/astorfi/TensorFlow-World,False,astorfi
obs-backgroundremoval,,PRODUCT,https://github.com/royshil/obs-backgroundremoval,False,royshil
awesome_3DReconstruction_list,,PRODUCT,https://github.com/openMVG/awesome_3DReconstruction_list,False,openMVG
AIGC-Interview-Book,,PRODUCT,https://github.com/WeThinkIn/AIGC-Interview-Book,False,WeThinkIn
d2l-pytorch,,PRODUCT,https://github.com/dsgiitr/d2l-pytorch,False,dsgiitr
VLMEvalKit,,PRODUCT,https://github.com/open-compass/VLMEvalKit,False,open-compass
cs230-code-examples,,PRODUCT,https://github.com/cs230-stanford/cs230-code-examples,False,cs230-stanford
torchgeo,,PRODUCT,https://github.com/torchgeo/torchgeo,False,torchgeo
open_flamingo,,PRODUCT,https://github.com/mlfoundations/open_flamingo,False,mlfoundations
3D-ResNets-PyTorch,,PRODUCT,https://github.com/kenshohara/3D-ResNets-PyTorch,False,kenshohara
photo2cartoon,,PRODUCT,https://github.com/minivision-ai/photo2cartoon,False,minivision-ai
iGAN,,PRODUCT,https://github.com/junyanz/iGAN,False,junyanz
fast-reid,,PRODUCT,https://github.com/JDAI-CV/fast-reid,False,JDAI-CV
awesome-satellite-imagery-datasets,,PRODUCT,https://github.com/chrieke/awesome-satellite-imagery-datasets,False,chrieke
arXivTimes,,PRODUCT,https://github.com/arXivTimes/arXivTimes,False,arXivTimes
4DGaussians,,PRODUCT,https://github.com/hustvl/4DGaussians,False,hustvl
scenic,,PRODUCT,https://github.com/google-research/scenic,False,google-research
lightly,,PRODUCT,https://github.com/lightly-ai/lightly,False,lightly-ai
habitat-sim,,PRODUCT,https://github.com/facebookresearch/habitat-sim,False,facebookresearch
awesome-industrial-anomaly-detection,,PRODUCT,https://github.com/M-3LAB/awesome-industrial-anomaly-detection,False,M-3LAB
3DDFA,,PRODUCT,https://github.com/cleardusk/3DDFA,False,cleardusk
AI-Engineer-Headquarters,,PRODUCT,https://github.com/hemansnation/AI-Engineer-Headquarters,False,hemansnation
make-sense,,PRODUCT,https://github.com/SkalskiP/make-sense,False,SkalskiP
SiamMask,,PRODUCT,https://github.com/foolwood/SiamMask,False,foolwood
LichtFeld-Studio,,PRODUCT,https://github.com/MrNeRF/LichtFeld-Studio,False,MrNeRF
ml-course,,PRODUCT,https://github.com/girafe-ai/ml-course,False,girafe-ai
pytracking,,PRODUCT,https://github.com/visionml/pytracking,False,visionml
ALAE,,PRODUCT,https://github.com/podgorskiy/ALAE,False,podgorskiy
AliceVision,,PRODUCT,https://github.com/alicevision/AliceVision,False,alicevision
colorization,,PRODUCT,https://github.com/richzhang/colorization,False,richzhang
towhee,,PRODUCT,https://github.com/towhee-io/towhee,False,towhee-io
anylabeling,,PRODUCT,https://github.com/vietanhdev/anylabeling,False,vietanhdev
awesome-hand-pose-estimation,,PRODUCT,https://github.com/xinghaochen/awesome-hand-pose-estimation,False,xinghaochen
